Date,Type,Symbole,Quantité,Prix
2020-04-03 00:00:00,achat,AI.PA,4,115.04
2020-06-26 00:00:00,achat,VIE.PA,50,19.98
2020-07-23 00:00:00,achat,TTE.PA,25,33.08
2020-12-11 00:00:00,achat,GTT.PA,6,79.57
2021-05-17 00:00:00,achat,SOI.PA,11,149.44
2021-05-17 00:00:00,achat,VMX.PA,200,2.17
2022-03-07 00:00:00,achat,AIR.PA,5,91.9
2025-01-27 00:00:00,achat,TEP.PA,10,86.69
2025-02-03 00:00:00,achat,BNP.PA,10,64.51
2025-03-10 00:00:00,achat,SAF.PA,3,253.01
2025-03-17 00:00:00,achat,CAP.PA,5,148.08
2025-03-18 00:00:00,vente,SOI.PA,11,46.28
2025-03-21 00:00:00,achat,SAN.PA,7,106.85
2025-03-21 00:00:00,achat,HO.PA,3,241.52
2025-04-01 00:00:00,vente,GTT.PA,6,139.9
2025-04-03 00:00:00,achat,AM.PA,3,282.52
2025-04-10 00:00:00,achat,EL.PA,3,251.14
